taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey
4118478,Holcus setiglumis Boiss. & Reut.,4150455,Holcus annuus subsp. setiglumis (Boiss. & Reut.) M.Seq. & Castrov.,3,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Holcus,2706162,Holcus annuus,4121520
5374837,Arabis L.,5374837,Arabis L.,8,GENUS,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Brassicaceae,3112,Arabis,5374837,,
4928420,Narcissus triandrus subsp. triandrus,4928420,Narcissus triandrus subsp. triandrus,5,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Amaryllidaceae,7682,Narcissus,2858200,Narcissus triandrus,2858501
8289268,Rubus vestitus Weihe & Nees,8289268,Rubus vestitus Weihe & Nees,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Rubus,2988638,Rubus vestitus,8289268
2888963,Rumex conglomeratus Murray,2888963,Rumex conglomeratus Murray,5,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Polygonaceae,2416,Rumex,2888942,Rumex conglomeratus,2888963
7782,Coccinellidae,7782,Coccinellidae,5,FAMILY,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Coleoptera,1470,Coccinellidae,7782,,,,
2671271,"Syntrichia ruralis Weber & D.Mohr, 1803",2671271,"Syntrichia ruralis Weber & D.Mohr, 1803",7,SPECIES,ACCEPTED,Plantae,6,Bryophyta,35,Bryopsida,327,Pottiales,621,Pottiaceae,4671,Syntrichia,2671247,Syntrichia ruralis,2671271
1602276,"Hercostomus verbekei Pollet, 1993",1602276,"Hercostomus verbekei Pollet, 1993",4,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Diptera,811,Dolichopodidae,7305,Hercostomus,1601971,Hercostomus verbekei,1602276
8157603,"Madeiranzonia gibbera (R.B.Watson, 1873)",8157603,"Madeiranzonia gibbera (R.B.Watson, 1873)",4,SPECIES,ACCEPTED,Animalia,1,Mollusca,52,Gastropoda,225,Littorinimorpha,7390893,Rissoidae,7066,Madeiranzonia,4613026,Madeiranzonia gibbera,8157603
2988638,Rubus L.,2988638,Rubus L.,22,GENUS,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Rubus,2988638,,
8213085,Malcolmia flexuosa Sibth. & Sm.,8213085,Malcolmia flexuosa Sibth. & Sm.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Brassicaceae,3112,Malcolmia,8306119,Malcolmia flexuosa,8213085
2596897,Psoroglaena stigonemoides (Orange) Henssen,2596897,Psoroglaena stigonemoides (Orange) Henssen,1,SPECIES,ACCEPTED,Fungi,5,Ascomycota,95,Eurotiomycetes,178,Verrucariales,1043,Verrucariaceae,4841,Psoroglaena,2596896,Psoroglaena stigonemoides,2596897
3636657,Bupleurum rigidum subsp. paniculatum (Brot.) H.Wolff,3636657,Bupleurum rigidum subsp. paniculatum (Brot.) H.Wolff,20,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Apiales,1351,Apiaceae,6720,Bupleurum,3034551,Bupleurum rigidum,6026935
5190300,"Gibbula cineraria (Linnaeus, 1758)",9514986,"Steromphala cineraria (Linnaeus, 1758)",4,SPECIES,SYNONYM,Animalia,1,Mollusca,52,Gastropoda,225,Trochida,9715180,Trochidae,2856,Steromphala,4614885,Steromphala cineraria,9514986
2225620,"Macropipus tuberculatus (Roux, 1830)",2225620,"Macropipus tuberculatus (Roux, 1830)",5,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Malacostraca,229,Decapoda,637,Polybiidae,5968394,Macropipus,2225613,Macropipus tuberculatus,2225620
2965909,Reichardia Roth,2965909,Reichardia Roth,7,GENUS,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Reichardia,2965909,,
3395623,Ramalina lusitanica H.Magn.,3395623,Ramalina lusitanica H.Magn.,1,SPECIES,ACCEPTED,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Lecanorales,1048,Ramalinaceae,4812,Ramalina,2521975,Ramalina lusitanica,3395623
4121520,Holcus annuus Salzm. ex C.A.Mey.,4121520,Holcus annuus Salzm. ex C.A.Mey.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Holcus,2706162,Holcus annuus,4121520
2606038,Usnea florida (L.) Weber ex F.H.Wigg.,2606038,Usnea florida (L.) Weber ex F.H.Wigg.,14,SPECIES,ACCEPTED,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Lecanorales,1048,Parmeliaceae,8305,Usnea,2605982,Usnea florida,2606038
1006879,"Smittina cervicornis (Pallas, 1766)",1006879,"Smittina cervicornis (Pallas, 1766)",2,SPECIES,ACCEPTED,Animalia,1,Bryozoa,53,Gymnolaemata,252,Cheilostomatida,467,Smittinidae,2764,Smittina,1005416,Smittina cervicornis,1006879
2051,Lumbrineridae,2051,Lumbrineridae,1,FAMILY,ACCEPTED,Animalia,1,Annelida,42,Polychaeta,256,Eunicida,865,Lumbrineridae,2051,,,,
